doc Pairs 	hash similarity 	line similarity 	Link
input/474841454631ad234c97b25ae79f5004_7_ShiftTacToe.java - input/efc23af23590bd787b1ea166aae26427_4_ShiftTacToe.java	69.72040452111838	117	Link
input/62a5c4ade835649c72674e382f12c330_2_ShiftTacToe.java - input/efc23af23590bd787b1ea166aae26427_4_ShiftTacToe.java	69.54193932183225	106	Link
input/e4e9eec9f010822395614a2efcea7657_18_ShiftTacToe.java - input/9b6914294498cfa098110141fe202d20_4_ShiftTacToe.java	69.5187165775401	163	Link
input/68d2daa76f2876751f43968f43ef0099_2_ShiftTacToe.java - input/efc23af23590bd787b1ea166aae26427_4_ShiftTacToe.java	69.4824509220702	121	Link
input/68422524eacdc14483ccfabbd4e55252_7_ShiftTacToe.java - input/efc23af23590bd787b1ea166aae26427_4_ShiftTacToe.java	69.4824509220702	113	Link
input/62a5c4ade835649c72674e382f12c330_2_ShiftTacToe.java - input/c7bd14fa1c4be4241a301f544e262b4a_1_ShiftTacToe.java	69.39698492462311	123	Link
input/61f0f60851037ee6f626120b690c5f03_1_ShiftTacToe.java - input/0964204626f438ed88b73ae132775100_1_ShiftTacToe.java	69.36936936936937	116	Link
input/f7a882ba9262e489830a52a5b5b421f7_2_ShiftTacToe.java - input/9b6914294498cfa098110141fe202d20_4_ShiftTacToe.java	69.25133689839572	181	Link
input/9b6914294498cfa098110141fe202d20_4_ShiftTacToe.java - input/c7bd14fa1c4be4241a301f544e262b4a_1_ShiftTacToe.java	69.04522613065326	125	Link
input/61f0f60851037ee6f626120b690c5f03_1_ShiftTacToe.java - input/62a5c4ade835649c72674e382f12c330_2_ShiftTacToe.java	68.95085066162571	132	Link
input/671876dc67820e32d22c7beae566db0d_1_ShiftTacToe.java - input/efc23af23590bd787b1ea166aae26427_4_ShiftTacToe.java	68.82807852468768	105	Link
input/671876dc67820e32d22c7beae566db0d_1_ShiftTacToe.java - input/62a5c4ade835649c72674e382f12c330_2_ShiftTacToe.java	68.80907372400756	140	Link
input/671876dc67820e32d22c7beae566db0d_1_ShiftTacToe.java - input/e4e9eec9f010822395614a2efcea7657_18_ShiftTacToe.java	68.80770774789241	156	Link
input/671876dc67820e32d22c7beae566db0d_1_ShiftTacToe.java - input/fad06c12ac6ec9fdcf690d1b20ce4f1c_4_ShiftTacToe.java	68.60698514652749	141	Link
input/621c313bdb694cdcf20423d945aca818_4_ShiftTacToe.java - input/c7bd14fa1c4be4241a301f544e262b4a_1_ShiftTacToe.java	68.5929648241206	122	Link
input/730d7f11e42aebf5d9271673ed7e3af6_4_ShiftTacToe.java - input/e4e9eec9f010822395614a2efcea7657_18_ShiftTacToe.java	68.58168761220826	145	Link
input/fad06c12ac6ec9fdcf690d1b20ce4f1c_4_ShiftTacToe.java - input/0964204626f438ed88b73ae132775100_1_ShiftTacToe.java	68.57445680975093	119	Link
input/96d1682f2b6c81d812b312804c6d1906_3_ShiftTacToe.java - input/c7bd14fa1c4be4241a301f544e262b4a_1_ShiftTacToe.java	68.49246231155779	120	Link
input/96d1682f2b6c81d812b312804c6d1906_3_ShiftTacToe.java - input/fad06c12ac6ec9fdcf690d1b20ce4f1c_4_ShiftTacToe.java	68.44426623897354	148	Link
input/4622264bcfb32221de1be4d360e00464_1_ShiftTacToe.java - input/efc23af23590bd787b1ea166aae26427_4_ShiftTacToe.java	68.29268292682927	109	Link
input/e4e9eec9f010822395614a2efcea7657_18_ShiftTacToe.java - input/c7bd14fa1c4be4241a301f544e262b4a_1_ShiftTacToe.java	68.29145728643216	117	Link
input/06984fed6eee7049dd84f5f9caaf019e_1_ShiftTacToe.java - input/f2ce9448bbd396a31167a703b429dcba_2_ShiftTacToe.java	67.9719703215169	153	Link
input/61f0f60851037ee6f626120b690c5f03_1_ShiftTacToe.java - input/f5570c008d4ea2c45bfcb77778d6c755_1_ShiftTacToe.java	67.93602437166794	187	Link
input/62a5c4ade835649c72674e382f12c330_2_ShiftTacToe.java - input/06984fed6eee7049dd84f5f9caaf019e_1_ShiftTacToe.java	67.76937618147448	129	Link
input/474841454631ad234c97b25ae79f5004_7_ShiftTacToe.java - input/c7bd14fa1c4be4241a301f544e262b4a_1_ShiftTacToe.java	67.73869346733669	126	Link
input/671876dc67820e32d22c7beae566db0d_1_ShiftTacToe.java - input/0964204626f438ed88b73ae132775100_1_ShiftTacToe.java	67.72655007949126	119	Link
input/e4e9eec9f010822395614a2efcea7657_18_ShiftTacToe.java - input/8e0adf9a436b68df09494829a83f6931_2_ShiftTacToe.java	67.71507863089732	133	Link
input/730d7f11e42aebf5d9271673ed7e3af6_4_ShiftTacToe.java - input/fad06c12ac6ec9fdcf690d1b20ce4f1c_4_ShiftTacToe.java	67.63913824057451	140	Link
input/426f847f3fd6374bb79d168bc1837824_6_ShiftTacToe.java - input/efc23af23590bd787b1ea166aae26427_4_ShiftTacToe.java	67.63831052944676	110	Link
input/62a5c4ade835649c72674e382f12c330_2_ShiftTacToe.java - input/0964204626f438ed88b73ae132775100_1_ShiftTacToe.java	67.62056173820879	114	Link
